IMGGenomeID,UpdatedIMGGenomeID,Clade
2718218441,2718218441,5.2
2636415834,2636415834,5.2
649990023,649990023,5.2
649990022,649990022,5.2
638341214,638341214,5.2
2716884606,2716884606,5.3
2716884605,2716884605,5.3
2716884604,2716884604,5.3
2623620283,640427148,5.3
2716884670,2716884670,5.1A-CRD2
2716884666,2716884666,5.1A-CRD2
2716884624,2716884624,5.1A-CRD2
2716884623,2716884623,5.1A-CRD2
2716884622,2716884622,5.1A-CRD2
2716884619,2716884619,5.1A-CRD2
2716884617,2716884617,5.1A-CRD2
2716884616,2716884616,5.1A-CRD2
2716884614,2716884614,5.1A-II
2716884610,2716884610,5.1A-II
2716884609,2716884609,5.1A-II
2716884607,2716884607,5.1A-II
2706794905,2706794905,5.1A-II
2606217400,637000310,5.1A-II
2563366603,2563366603,5.1A-II
2507262012,2507262012,5.1A-II
2716884608,2716884608,5.1A-III
2687453380,2687453380,5.1A-III
2606217514,637000314,5.1A-III
2716884678,2716884678,5.1A-IV
2716884677,2716884677,5.1A-IV
2716884674,2716884674,5.1A-IV
2716884673,2716884673,5.1A-IV
2716884631,2716884631,5.1A-IV
2716884628,2716884628,5.1A-IV
2716884627,2716884627,5.1A-IV
2623620351,639857006,5.1A-IV
2606217272,637000311,5.1A-IV
2716884612,2716884612,5.1A-UC-A-EnvC
2716884611,2716884611,5.1A-UC-A-EnvC
2517093019,2517093019,5.1A-UC-A-EnvC
2507262013,2507262013,5.1A-UC-A-EnvC
2716884601,2716884601,5.1A-unclassified
2716884258,2716884258,5.1A-unclassified
2507262011,2507262011,5.1A-WPC1
2716884679,2716884679,5.1B-CRD1
2716884675,2716884675,5.1B-CRD1
2716884672,2716884672,5.1B-CRD1
2716884669,2716884669,5.1B-CRD1
2716884668,2716884668,5.1B-CRD1
2716884667,2716884667,5.1B-CRD1
2716884629,2716884629,5.1B-CRD1
2716884621,2716884621,5.1B-CRD1
2716884620,2716884620,5.1B-CRD1
2716884618,2716884618,5.1B-CRD1
2716884615,2716884615,5.1B-CRD1
2716884613,2716884613,5.1B-CRD1
2716884600,2716884600,5.1B-CRD1
2716884599,2716884599,5.1B-CRD1
2716884257,2716884257,5.1B-CRD1
2681812953,2823444214,5.1B-CRD1
2681812952,2823447967,5.1B-CRD1
2681812951,2823440501,5.1B-CRD1
2716884680,2716884680,5.1B-I
2716884676,2716884676,5.1B-I
2716884671,2716884671,5.1B-I
2716884630,2716884630,5.1B-I
2716884626,2716884626,5.1B-I
2716884625,2716884625,5.1B-I
2716884602,2716884602,5.1B-I
2645727663,2645727663,5.1B-I
2623620876,637000309,5.1B-I
2507262052,2507262052,5.1B-I
2623620281,639857007,5.1B-IX
2623620330,640427149,5.1B-V
2623620868,638341215,5.1B-VI
638341213,638341213,5.1B-VIII
2716884701,2716884701,AMZ-II
2716884700,2716884700,AMZ-II
2716884699,2716884699,AMZ-II
2716884698,2716884698,AMZ-II
2716884644,2716884644,AMZ-II
2716884643,2716884643,AMZ-II
2716884642,2716884642,AMZ-II
2716884809,2716884809,HLI
2716884808,2716884808,HLI
2716884807,2716884807,HLI
2716884805,2716884805,HLI
2716884804,2716884804,HLI
2716884802,2716884802,HLI
2716884800,2716884800,HLI
2716884798,2716884798,HLI
2716884796,2716884796,HLI
2716884795,2716884795,HLI
2716884789,2716884789,HLI
2716884783,2716884783,HLI
2716884731,2716884731,HLI
2716884730,2716884730,HLI
2716884729,2716884729,HLI
2716884728,2716884728,HLI
2716884722,2716884722,HLI
2716884721,2716884721,HLI
2716884720,2716884720,HLI
2716884718,2716884718,HLI
2716884717,2716884717,HLI
2716884716,2716884716,HLI
2716884715,2716884715,HLI
2716884714,2716884714,HLI
2716884713,2716884713,HLI
2716884712,2716884712,HLI
2716884708,2716884708,HLI
2716884707,2716884707,HLI
2716884706,2716884706,HLI
2716884705,2716884705,HLI
2716884704,2716884704,HLI
2716884703,2716884703,HLI
2716884702,2716884702,HLI
2716884687,2716884687,HLI
2716884686,2716884686,HLI
2716884684,2716884684,HLI
2716884683,2716884683,HLI
2716884660,2716884660,HLI
2716884659,2716884659,HLI
2716884658,2716884658,HLI
2716884656,2716884656,HLI
2716884655,2716884655,HLI
2716884653,2716884653,HLI
2716884651,2716884651,HLI
2716884649,2716884649,HLI
2716884648,2716884648,HLI
2716884647,2716884647,HLI
2716884646,2716884646,HLI
2716884645,2716884645,HLI
2716884636,2716884636,HLI
2716884634,2716884634,HLI
2716884510,2716884510,HLI
2716884509,2716884509,HLI
2716884508,2716884508,HLI
2716884507,2716884507,HLI
2716884506,2716884506,HLI
2716884505,2716884505,HLI
2716884504,2716884504,HLI
2716884503,2716884503,HLI
2716884502,2716884502,HLI
2716884501,2716884501,HLI
2716884499,2716884499,HLI
2716884498,2716884498,HLI
2716884497,2716884497,HLI
2716884496,2716884496,HLI
2716884495,2716884495,HLI
2716884494,2716884494,HLI
2716884493,2716884493,HLI
2716884492,2716884492,HLI
2716884491,2716884491,HLI
2716884490,2716884490,HLI
2716884489,2716884489,HLI
2716884488,2716884488,HLI
2716884487,2716884487,HLI
2716884486,2716884486,HLI
2716884484,2716884484,HLI
2716884483,2716884483,HLI
2716884482,2716884482,HLI
2716884481,2716884481,HLI
2716884480,2716884480,HLI
2716884477,2716884477,HLI
2716884476,2716884476,HLI
2716884475,2716884475,HLI
2716884473,2716884473,HLI
2716884472,2716884472,HLI
2716884460,2716884460,HLI
2716884459,2716884459,HLI
2716884456,2716884456,HLI
2716884455,2716884455,HLI
2716884447,2716884447,HLI
2716884445,2716884445,HLI
2716884409,2716884409,HLI
2716884369,2716884369,HLI
2716884367,2716884367,HLI
2716884345,2716884345,HLI
2716884344,2716884344,HLI
2716884343,2716884343,HLI
2716884282,2716884282,HLI
2716884281,2716884281,HLI
2716884280,2716884280,HLI
2716884279,2716884279,HLI
2716884278,2716884278,HLI
2716884277,2716884277,HLI
2716884276,2716884276,HLI
2716884275,2716884275,HLI
2716884274,2716884274,HLI
2716884273,2716884273,HLI
2716884272,2716884272,HLI
2716884259,2716884259,HLI
2667527322,2667527322,HLI
2667527275,2667527275,HLI
2623620345,640069324,HLI
2606217689,2606217689,HLI
2606217259,637000214,HLI
2716884803,2716884803,HLII
2716884801,2716884801,HLII
2716884797,2716884797,HLII
2716884794,2716884794,HLII
2716884793,2716884793,HLII
2716884792,2716884792,HLII
2716884790,2716884790,HLII
2716884788,2716884788,HLII
2716884787,2716884787,HLII
2716884786,2716884786,HLII
2716884785,2716884785,HLII
2716884784,2716884784,HLII
2716884782,2716884782,HLII
2716884780,2716884780,HLII
2716884779,2716884779,HLII
2716884776,2716884776,HLII
2716884775,2716884775,HLII
2716884774,2716884774,HLII
2716884773,2716884773,HLII
2716884771,2716884771,HLII
2716884770,2716884770,HLII
2716884769,2716884769,HLII
2716884768,2716884768,HLII
2716884767,2716884767,HLII
2716884765,2716884765,HLII
2716884760,2716884760,HLII
