MappingName,OrthologID,GenomeName,GeneID,Annotation,GenomeID,Group,Clade,RefType
AG-316-A05_2717575775,60001888,AG-316-A05,2717575775,hypothetical protein,2716884642,Prochlorococcus,AMZ-II,SAG
AG-316-A05_2717575776,60001888,AG-316-A05,2717575776,hypothetical protein,2716884642,Prochlorococcus,AMZ-II,SAG
AG-316-G21_2717575864,60001830,AG-316-G21,2717575864,hypothetical protein,2716884643,Prochlorococcus,AMZ-II,SAG
AG-316-G21_2717575874,60001830,AG-316-G21,2717575874,hypothetical protein,2716884643,Prochlorococcus,AMZ-II,SAG
AG-316-L16_2717627831,60001830,AG-316-L16,2717627831,hypothetical protein,2716884698,Prochlorococcus,AMZ-II,SAG
AG-316-L16_2717627893,60001888,AG-316-L16,2717627893,hypothetical protein,2716884698,Prochlorococcus,AMZ-II,SAG
AG-316-L16_2717627920,60001888,AG-316-L16,2717627920,hypothetical protein,2716884698,Prochlorococcus,AMZ-II,SAG
AG-316-L16_2717627958,60001888,AG-316-L16,2717627958,hypothetical protein,2716884698,Prochlorococcus,AMZ-II,SAG
AG-316-L16_2717627867,60001888,AG-316-L16,2717627867,hypothetical protein,2716884698,Prochlorococcus,AMZ-II,SAG
AG-316-L16_2717627894,60001888,AG-316-L16,2717627894,hypothetical protein,2716884698,Prochlorococcus,AMZ-II,SAG
AG-316-L16_2717627967,60001888,AG-316-L16,2717627967,hypothetical protein,2716884698,Prochlorococcus,AMZ-II,SAG
AG-316-L16_2717627984,60001888,AG-316-L16,2717627984,hypothetical protein,2716884698,Prochlorococcus,AMZ-II,SAG
AG-316-L16_2717627872,60001888,AG-316-L16,2717627872,hypothetical protein,2716884698,Prochlorococcus,AMZ-II,SAG
AG-316-L16_2717627587,60001888,AG-316-L16,2717627587,hypothetical protein,2716884698,Prochlorococcus,AMZ-II,SAG
AG-316-L16_2717627959,60001888,AG-316-L16,2717627959,hypothetical protein,2716884698,Prochlorococcus,AMZ-II,SAG
AG-316-L16_2717627586,60001888,AG-316-L16,2717627586,hypothetical protein,2716884698,Prochlorococcus,AMZ-II,SAG
AG-316-L21_2717628310,60001888,AG-316-L21,2717628310,hypothetical protein,2716884699,Prochlorococcus,AMZ-II,SAG
AG-316-N21_2717576556,60001830,AG-316-N21,2717576556,hypothetical protein,2716884644,Prochlorococcus,AMZ-II,SAG
AG-316-N21_2717576566,60001888,AG-316-N21,2717576566,hypothetical protein,2716884644,Prochlorococcus,AMZ-II,SAG
AG-316-N21_2717576536,60001888,AG-316-N21,2717576536,hypothetical protein,2716884644,Prochlorococcus,AMZ-II,SAG
AG-316-N21_2717576425,60001888,AG-316-N21,2717576425,hypothetical protein,2716884644,Prochlorococcus,AMZ-II,SAG
AG-316-N21_2717576572,60001888,AG-316-N21,2717576572,hypothetical protein,2716884644,Prochlorococcus,AMZ-II,SAG
AG-316-N21_2717576537,60001888,AG-316-N21,2717576537,hypothetical protein,2716884644,Prochlorococcus,AMZ-II,SAG
AG-316-N21_2717576568,60001888,AG-316-N21,2717576568,hypothetical protein,2716884644,Prochlorococcus,AMZ-II,SAG
AG-316-N21_2717576533,60001888,AG-316-N21,2717576533,hypothetical protein,2716884644,Prochlorococcus,AMZ-II,SAG
AG-316-N23_2717629060,60001830,AG-316-N23,2717629060,hypothetical protein,2716884700,Prochlorococcus,AMZ-II,SAG
AG-316-N23_2717628673,60001830,AG-316-N23,2717628673,hypothetical protein,2716884700,Prochlorococcus,AMZ-II,SAG
AG-316-N23_2717629010,60001830,AG-316-N23,2717629010,hypothetical protein,2716884700,Prochlorococcus,AMZ-II,SAG
AG-316-N23_2717629091,60001888,AG-316-N23,2717629091,hypothetical protein,2716884700,Prochlorococcus,AMZ-II,SAG
AG-316-N23_2717628720,60001888,AG-316-N23,2717628720,hypothetical protein,2716884700,Prochlorococcus,AMZ-II,SAG
AG-321-G20_2717634644,60002365,AG-321-G20,2717634644,hypothetical protein,2716884707,Prochlorococcus,HLI,SAG
AG-321-M21_2717577740,60002365,AG-321-M21,2717577740,hypothetical protein,2716884647,Prochlorococcus,HLI,SAG
AG-321-M21_2717578011,60002365,AG-321-M21,2717578011,hypothetical protein,2716884647,Prochlorococcus,HLI,SAG
AG-321-M21_2717578010,60002365,AG-321-M21,2717578010,hypothetical protein,2716884647,Prochlorococcus,HLI,SAG
AG-321-M21_2717578009,60002365,AG-321-M21,2717578009,hypothetical protein,2716884647,Prochlorococcus,HLI,SAG
AG-321-P21_2717578582,60002365,AG-321-P21,2717578582,hypothetical protein,2716884649,Prochlorococcus,HLI,SAG
AG-321-P21_2717578583,60002365,AG-321-P21,2717578583,hypothetical protein,2716884649,Prochlorococcus,HLI,SAG
AG-335-C21_2717639864,60001883,AG-335-C21,2717639864,protein of unknown function (DUF4214),2716884714,Prochlorococcus,HLI,SAG
AG-335-C21_2717639940,60001888,AG-335-C21,2717639940,hypothetical protein,2716884714,Prochlorococcus,HLI,SAG
AG-335-E22_2717642369,60002365,AG-335-E22,2717642369,hypothetical protein,2716884717,Prochlorococcus,HLI,SAG
AG-335-E22_2717642371,60002365,AG-335-E22,2717642371,hypothetical protein,2716884717,Prochlorococcus,HLI,SAG
AG-335-E22_2717641846,60002365,AG-335-E22,2717641846,hypothetical protein,2716884717,Prochlorococcus,HLI,SAG
AG-335-E22_2717642319,60002365,AG-335-E22,2717642319,hypothetical protein,2716884717,Prochlorococcus,HLI,SAG
AG-388-B05_2717653695,60001888,AG-388-B05,2717653695,hypothetical protein,2716884729,Prochlorococcus,HLI,SAG
AG-388-B05_2717654585,60001888,AG-388-B05,2717654585,hypothetical protein,2716884729,Prochlorococcus,HLI,SAG
AG-402-N10_2667748772,60001888,AG-402-N10,2667748772,hypothetical protein,2667527275,Prochlorococcus,HLI,SAG
AG-402-N10_2667748991,60001888,AG-402-N10,2667748991,hypothetical protein,2667527275,Prochlorococcus,HLI,SAG
AG-469-F22_2717395913,60001830,AG-469-F22,2717395913,hypothetical protein,2716884472,Prochlorococcus,HLI,SAG
AG-469-F22_2717396269,60001830,AG-469-F22,2717396269,hypothetical protein,2716884472,Prochlorococcus,HLI,SAG
AG-469-F22_2717395944,60001888,AG-469-F22,2717395944,hypothetical protein,2716884472,Prochlorococcus,HLI,SAG
AG-469-F22_2717396854,60001888,AG-469-F22,2717396854,hypothetical protein,2716884472,Prochlorococcus,HLI,SAG
AG-469-F22_2717396419,60001888,AG-469-F22,2717396419,hypothetical protein,2716884472,Prochlorococcus,HLI,SAG
AG-670-L08_2717401547,60001830,AG-670-L08,2717401547,hypothetical protein,2716884476,Prochlorococcus,HLI,SAG
AG-670-L08_2717401396,60001888,AG-670-L08,2717401396,hypothetical protein,2716884476,Prochlorococcus,HLI,SAG
AG-670-L08_2717401545,60001888,AG-670-L08,2717401545,hypothetical protein,2716884476,Prochlorococcus,HLI,SAG
AG-670-L08_2717401543,60001888,AG-670-L08,2717401543,hypothetical protein,2716884476,Prochlorococcus,HLI,SAG
AG-670-L08_2717401546,60001888,AG-670-L08,2717401546,hypothetical protein,2716884476,Prochlorococcus,HLI,SAG
AG-670-L08_2717400411,60001888,AG-670-L08,2717400411,hypothetical protein,2716884476,Prochlorococcus,HLI,SAG
AG-676-L21_2717759255,60001888,AG-676-L21,2717759255,hypothetical protein,2716884808,Prochlorococcus,HLI,SAG
AG-676-M04_2717421630,60001888,AG-676-M04,2717421630,hypothetical protein,2716884494,Prochlorococcus,HLI,SAG
AG-676-M04_2717421619,60001888,AG-676-M04,2717421619,hypothetical protein,2716884494,Prochlorococcus,HLI,SAG
AG-676-M04_2717421620,60001888,AG-676-M04,2717421620,hypothetical protein,2716884494,Prochlorococcus,HLI,SAG
AG-676-M04_2717421631,60001888,AG-676-M04,2717421631,hypothetical protein,2716884494,Prochlorococcus,HLI,SAG
AG-676-M04_2717422242,60001888,AG-676-M04,2717422242,hypothetical protein,2716884494,Prochlorococcus,HLI,SAG
AG-676-M04_2717422240,60001888,AG-676-M04,2717422240,hypothetical protein,2716884494,Prochlorococcus,HLI,SAG
AG-676-M04_2717421636,60001888,AG-676-M04,2717421636,hypothetical protein,2716884494,Prochlorococcus,HLI,SAG
AG-676-M04_2717422567,60001888,AG-676-M04,2717422567,hypothetical protein,2716884494,Prochlorococcus,HLI,SAG
AG-676-P03_2717426412,60001883,AG-676-P03,2717426412,protein of unknown function (DUF4214),2716884497,Prochlorococcus,HLI,SAG
